NET_VALUE_IN_EURO,State_Code,State_Name
0.00E+00,BRA,Brazil
0.00E+00,NLD,Netherlands
3.13E+02,CHL,Chile
4.81E+02,SAU,Saudi Arabia
2.68E+03,CUB,Cuba
3.79E+03,AUS,Australia
7.89E+03,MEX,Mexico
1.11E+04,ARG,Argentina
1.37E+04,JPN,Japan
2.28E+05,EGY,Egypt
2.97E+06,CHE,Switzerland
4.74E+06,KOR,Korea
6.64E+06,AUT,Austria
1.46E+07,RUS,Russian Federation
2.79E+07,ARE,United Arab Emirates
3.24E+07,GBR,United Kingdom
7.10E+07,ITA,Italy
7.78E+07,FRA,France
8.91E+07,CAN,Canada
1.06E+08,NOR,Norway
1.40E+08,IND,India
3.43E+08,CHN,China
4.25E+08,USA,United States
1.76E+09,DEU,Germany
